Program ID,Broad Field,Field,Institution Name,Program Name,Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty (2006),Female Faculty as a Percent of Total Core and New Faculty (2006),Non-Asian Minority Students as a Percent of Total Domestic Students (Fall 2005),Female Students as a Percent of Total Students (Fall 2005),International Students as a Percent of Total Students (Fall 2005)
20038036,Agricultural Sciences,Animal Sciences,Auburn University,Poultry Science,6.7%,13.3%,0%,63.6%,63.6%
20016838,Agricultural Sciences,Animal Sciences,Clemson University,Wildlife and Fisheries Biology,10%,0%,100%,66.7%,0%
20056238,Agricultural Sciences,Animal Sciences,Colorado State University,Animal Science,5.3%,19%,0%,25%,25%
20015486,Agricultural Sciences,Animal Sciences,Cornell University,Animal Science,0%,16.7%,0%,52.2%,47.8%
20016265,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Breeding and Genetics,0%,14.3%,0%,33.3%,66.7%
20016278,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Nutrition,0%,14.3%,0%,30%,30%
20016579,Agricultural Sciences,Animal Sciences,Iowa State University,Meat Science,0%,10%,33.3%,50%,60%
20028509,Agricultural Sciences,Animal Sciences,Kansas State University,Animal Science,0%,11.5%,0%,33.3%,8.3%
20057965,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Animal and Dairy Sciences,5.6%,5.3%,0%,50%,41.7%
20021195,Agricultural Sciences,Animal Sciences,Miami University,Zoology,6.9%,34.5%,7.7%,55.6%,42.2%
20046730,Agricultural Sciences,Animal Sciences,Michigan State University,Animal Science,3.2%,31.3%,14.3%,50%,30%
20058294,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Wildlife and Fisheries Science,0%,0%,0%,11.1%,22.2%
20047043,Agricultural Sciences,Animal Sciences,Michigan State University,Large Animal Clinical Sciences,5.3%,15.8%,0%,33.3%,33.3%
20062170,Agricultural Sciences,Animal Sciences,New Mexico State University Main Campus,Animal Sciences,0%,16.7%,0%,25%,0%
20041269,Agricultural Sciences,Animal Sciences,North Carolina State University,Animal Science and Poultry Science,2.2%,14.9%,16.7%,42.9%,57.1%
20041696,Agricultural Sciences,Animal Sciences,North Carolina State University,Zoology,7.1%,14.3%,4.5%,50%,15.4%
20026815,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Animal and Range Sciences,0%,17.6%,0%,42.9%,14.3%
20026954,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Zoology,0%,16.7%,0%,37.5%,0%
20041861,Agricultural Sciences,Animal Sciences,Oklahoma State University Main Campus,Animal Nutrition,0%,16.7%,0%,28.6%,57.1%
20028761,Agricultural Sciences,Animal Sciences,Ohio State University Main Campus,Animal Sciences,0%,9.7%,25%,41.2%,29.4%
20018522,Agricultural Sciences,Animal Sciences,Oregon State University,Animal Science,0%,6.7%,0%,28.6%,0%
20031169,Agricultural Sciences,Animal Sciences,Penn State University,Animal Science,0%,15.8%,0%,42.9%,71.4%
20055637,Agricultural Sciences,Animal Sciences,Purdue University Main Campus,Animal Sciences,3.8%,11.1%,5.6%,47.2%,50%
20012353,Agricultural Sciences,Animal Sciences,Rutgers The State University of New Jersey New Brunswick Campus,Animal Sciences,6.3%,25%,13.3%,62.5%,6.3%
20040613,Agricultural Sciences,Animal Sciences,Southern Illinois University Carbondale,Zoology,3.8%,7.7%,16%,29%,19.4%
20021700,Agricultural Sciences,Animal Sciences,Texas A & M University,Animal Science,3.1%,15.6%,12.5%,39.1%,30.4%
20021807,Agricultural Sciences,Animal Sciences,Texas A & M University,Wildlife & Fisheries Sciences,3.4%,15.2%,12.8%,42.4%,25.8%
20065151,Agricultural Sciences,Animal Sciences,Texas A & M University,Reproductive Physiology,0%,18.2%,8.3%,38.5%,7.7%
20022929,Agricultural Sciences,Animal Sciences,Texas Tech University,Zoology,6.5%,15.6%,40%,40%,0%
20027995,Agricultural Sciences,Animal Sciences,University of Alaska Fairbanks,Fisheries,0%,25%,0%,33.3%,26.7%
20013530,Agricultural Sciences,Animal Sciences,University of Arkansas Main Campus,Animal Sciences,7.7%,15.4%,0%,30%,20%
20033785,Agricultural Sciences,Animal Sciences,University of Arizona,Animal Sciences,0%,0%,50%,66.7%,33.3%
20013750,Agricultural Sciences,Animal Sciences,University of Arkansas Main Campus,Poultry Science,5.9%,5.9%,33.3%,46.2%,76.9%
20023805,Agricultural Sciences,Animal Sciences,University of Connecticut,Animal Science PhD,0%,20%,0%,38.1%,66.7%
20024215,Agricultural Sciences,Animal Sciences,University of Connecticut,Pathobiology PhD,12.5%,10%,0%,35.7%,28.6%
20012081,Agricultural Sciences,Animal Sciences,University of Delaware,Animal Science,4.5%,36.4%,0%,85.7%,28.6%
20012926,Agricultural Sciences,Animal Sciences,University of Florida,Animal Sciences,11.4%,14.3%,18.8%,41.4%,44.8%
20013080,Agricultural Sciences,Animal Sciences,University of Florida,Fisheries and Aquatic Sciences,6.3%,12.5%,0%,35%,10%
20013501,Agricultural Sciences,Animal Sciences,University of Florida,Veterinary Medical Sciences,13.9%,24%,11.1%,59.6%,17.5%
20019563,Agricultural Sciences,Animal Sciences,University of Georgia,Animal and Dairy Science,0%,5.3%,22.2%,29.4%,47.1%
20019945,Agricultural Sciences,Animal Sciences,University of Georgia,Poultry Science,9.1%,18.2%,0%,42.9%,14.3%
20014966,Agricultural Sciences,Animal Sciences,University of Hawaii At Manoa,Zoology,0%,6.9%,3.8%,47%,16.7%
20067557,Agricultural Sciences,Animal Sciences,University of Idaho,Animal Physiology,8.3%,6.3%,0%,35.7%,21.4%
20038777,Agricultural Sciences,Animal Sciences,University of Illinois At Urbana-Champaign,Animal Sciences,6.3%,10%,4%,47.5%,35.9%
20028059,Agricultural Sciences,Animal Sciences,University of Kentucky,Animal Sciences,0%,14.3%,10%,41.2%,35.3%
20049986,Agricultural Sciences,Animal Sciences,University of Maryland College Park,Animal Sciences,8%,18.5%,18.8%,56%,36%
20050548,Agricultural Sciences,Animal Sciences,University of Maryland College Park,Veterinary Medical Sciences,12.5%,0%,0%,25%,75%
20039598,Agricultural Sciences,Animal Sciences,University of Minnesota-Twin Cities,Animal Sciences,7.1%,17.2%,0%,50%,64.3%
20040299,Agricultural Sciences,Animal Sciences,University of Minnesota-Twin Cities,Veterinary Medicine,7%,19%,11.1%,39.3%,67.9%
20025188,Agricultural Sciences,Animal Sciences,University of Missouri - Columbia,Animal Sciences,3.3%,3.2%,0%,35.3%,41.2%
20017086,Agricultural Sciences,Animal Sciences,University of Nebraska - Lincoln,Animal Science,0%,12.5%,0%,29.6%,33.3%
20045647,Agricultural Sciences,Animal Sciences,University of Tennessee,Animal Science,5.6%,22.2%,0%,57.1%,71.4%
20059439,Agricultural Sciences,Animal Sciences,University of Washington,Aquatic and Fishery Sciences,3%,14.7%,11.8%,38.8%,24.5%
20030306,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Animal Sciences,11.1%,5.3%,0%,31.3%,50%
20030526,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Dairy Science,7.7%,7.1%,25%,16.7%,66.7%
20031127,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Zoology,0%,34.8%,9.4%,41%,15.4%
20024752,Agricultural Sciences,Animal Sciences,University of Wyoming,Reproductive Biology,0%,28.6%,0%,50%,50%
20044363,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,"Animal Sciences, Dairy",0%,15.4%,0%,60%,50%
20044376,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,Animal and Poultry Sciences,4.3%,16%,7.7%,65.4%,46.2%
20044541,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,Fisheries and Wildlife,0%,22.7%,0%,41.2%,17.6%
20058304,Agricultural Sciences,Animal Sciences,Washington State University,Animal Sciences,0%,17.6%,11.1%,57.1%,35.7%
20037862,Agricultural Sciences,Entomology,Auburn University,Entomology,8.3%,25%,0%,28.6%,85.7%
20016841,Agricultural Sciences,Entomology,Clemson University,Entomology,0%,8.3%,0%,28.6%,57.1%
20015761,Agricultural Sciences,Entomology,Cornell University,Entomology,3.7%,15.6%,7.1%,40.7%,42.3%
20016430,Agricultural Sciences,Entomology,Iowa State University,Entomology,7.7%,21.4%,10%,69.2%,15.4%
20058087,Agricultural Sciences,Entomology,Louisiana State University And Agricultural And Mechanical College,Entomology,0%,15%,0%,33.3%,35.7%
20028596,Agricultural Sciences,Entomology,Kansas State University,Entomology,12.5%,0%,14.3%,42.3%,69.2%
20046918,Agricultural Sciences,Entomology,Michigan State University,Entomology,4.3%,16.7%,27.3%,53.3%,26.7%
20024451,Agricultural Sciences,Entomology,Mississippi State University,Entomology and Plant Pathology (degree: PhD in Life Sciences),0%,0%,0%,50%,50%
20041418,Agricultural Sciences,Entomology,North Carolina State University,Entomology,3.3%,14.3%,13%,57.7%,11.5%
20028965,Agricultural Sciences,Entomology,Ohio State University Main Campus,Entomology,5.3%,15.8%,11.1%,33.3%,44.4%
20041971,Agricultural Sciences,Entomology,Oklahoma State University Main Campus,Entomology,8.3%,16.7%,0%,21.4%,57.1%
20018564,Agricultural Sciences,Entomology,Oregon State University,Entomology,10%,33.3%,33.3%,25%,0%
20031392,Agricultural Sciences,Entomology,Penn State University,Entomology,0%,20.8%,21.4%,45%,25%
20055844,Agricultural Sciences,Entomology,Purdue University Main Campus,Entomology,0%,14.3%,0%,33.3%,66.7%
20012531,Agricultural Sciences,Entomology,Rutgers The State University of New Jersey New Brunswick Campus,Entomology,0%,10%,14.3%,33.3%,25%
20013624,Agricultural Sciences,Entomology,University of Arkansas Main Campus,Entomology,0%,14.3%,0%,50%,25%
20067159,Agricultural Sciences,Entomology,University of California-Davis,Entomology,4%,24%,9.4%,71.4%,2.9%
20048819,Agricultural Sciences,Entomology,University of California-Riverside,Entomology,0%,3.4%,4.5%,36.1%,25%
20013064,Agricultural Sciences,Entomology,University of Florida,Entomology and Nematology,7.3%,12.7%,14.6%,39%,28.8%
20019699,Agricultural Sciences,Entomology,University of Georgia,Entomology,0%,6.3%,0%,47.8%,52.2%
20038984,Agricultural Sciences,Entomology,University of Illinois At Urbana-Champaign,Entomology,9.1%,27.3%,0%,30%,31.6%
20028198,Agricultural Sciences,Entomology,University of Kentucky,Entomology,0%,6.3%,20%,46.2%,38.5%
20050195,Agricultural Sciences,Entomology,University of Maryland College Park,Entomology,10.5%,38.1%,12.5%,55%,15%
20039857,Agricultural Sciences,Entomology,University of Minnesota-Twin Cities,Entomology,0%,22.2%,16.7%,44.4%,27.8%
20017099,Agricultural Sciences,Entomology,University of Nebraska - Lincoln,Entomology,4.2%,4.2%,0%,38.9%,33.3%
20030584,Agricultural Sciences,Entomology,University of Wisconsin-Madison,Entomology,0%,21.4%,15.4%,55.6%,27.8%
20044525,Agricultural Sciences,Entomology,Virginia Polytechnic Institute And State University,Entomology,4.8%,13%,0%,36%,36%
20058427,Agricultural Sciences,Entomology,Washington State University,Entomology,0%,10%,11.1%,16.7%,8.3%
20016854,Agricultural Sciences,Food Science,Clemson University,Food Technology,22.2%,55.6%,0%,46.2%,46.2%
20056351,Agricultural Sciences,Food Science,Colorado State University,Food Science & Human Nutrition,0%,33.3%,0%,84.6%,7.7%
20015787,Agricultural Sciences,Food Science,Cornell University,Food Science and Technology,3.6%,21.9%,6.3%,57.4%,63.8%
20016456,Agricultural Sciences,Food Science,Iowa State University,Food Science & Technology,9.1%,40.9%,33.3%,57.1%,64.3%
20028606,Agricultural Sciences,Food Science,Kansas State University,Food Science,0%,25%,25%,66.7%,55.6%
20058090,Agricultural Sciences,Food Science,Louisiana State University And Agricultural And Mechanical College,Food Science,0%,33.3%,50%,62.5%,81.3%
20046947,Agricultural Sciences,Food Science,Michigan State University,Food Science,9.1%,21.7%,22.2%,66.7%,40%
20024464,Agricultural Sciences,Food Science,Mississippi State University,Food Science (degree: PhD in Food Science and Nutrition),6.7%,20%,0%,50%,83.3%
20041434,Agricultural Sciences,Food Science,North Carolina State University,Food Science,6.3%,18.5%,25%,63.3%,46.7%
20028994,Agricultural Sciences,Food Science,Ohio State University Main Campus,Food Science and Nutrition,20%,35.3%,18.2%,51.9%,59.3%
20041997,Agricultural Sciences,Food Science,Oklahoma State University Main Campus,Food Science,7.7%,50%,25%,50%,66.7%
20018593,Agricultural Sciences,Food Science,Oregon State University,Food Science and Technology,7.1%,16.7%,0%,61.5%,61.5%
20031402,Agricultural Sciences,Food Science,Penn State University,Food Science,0%,21.4%,14.3%,50%,70.8%
20055857,Agricultural Sciences,Food Science,Purdue University Main Campus,Food Science,0%,15%,14.3%,50%,76.7%
20012557,Agricultural Sciences,Food Science,Rutgers The State University of New Jersey New Brunswick Campus,Food Science,0%,22.2%,9.1%,64.2%,71.6%
20021632,Agricultural Sciences,Food Science,Texas A & M University,Food Science & Technology,16%,15%,9.1%,55.6%,59.3%
20013640,Agricultural Sciences,Food Science,University of Arkansas Main Campus,Food Science,11.1%,22.2%,30%,47.1%,41.2%
20067175,Agricultural Sciences,Food Science,University of California-Davis,Food Science,0%,28.8%,0%,77.8%,63%
20013103,Agricultural Sciences,Food Science,University of Florida,Food Science and Human Nutrition: Food Science,6.3%,18.8%,25%,63.6%,45.5%
20019712,Agricultural Sciences,Food Science,University of Georgia,Food Science,5.3%,17.4%,29.4%,58.7%,60.9%
20039006,Agricultural Sciences,Food Science,University of Illinois At Urbana-Champaign,Food Science and Human Nutrition,6.9%,41.9%,0%,70.4%,59.3%
20050218,Agricultural Sciences,Food Science,University of Maryland College Park,Food Science,0%,18.2%,0%,66.7%,66.7%
20047946,Agricultural Sciences,Food Science,University of Massachusetts Amherst,Food Science,0%,18.2%,0%,43.5%,69.6%
20039909,Agricultural Sciences,Food Science,University of Minnesota-Twin Cities,Food Science,0%,29.4%,0%,65.2%,39.1%
20025379,Agricultural Sciences,Food Science,University of Missouri - Columbia,Food Science,12.5%,40%,13.2%,33.3%,100%
20017109,Agricultural Sciences,Food Science,University of Nebraska - Lincoln,Food Science & Technology,6.7%,13.3%,0%,53.8%,84.6%
20045812,Agricultural Sciences,Food Science,University of Tennessee,Food Science and Technology,0%,37.5%,42.9%,77.8%,22.2%
20027474,Agricultural Sciences,Food Science,University of Vermont,"Animal, Nutrition, and Food Sciences",5.5%,33.3%,0%,62.5%,50%
20030607,Agricultural Sciences,Food Science,University of Wisconsin-Madison,Food Science,0%,15.4%,0%,60%,76.7%
20044554,Agricultural Sciences,Food Science,Virginia Polytechnic Institute And State University,Food Science and Technology,9.1%,25%,16.7%,66.7%,20%
20058443,Agricultural Sciences,Food Science,Washington State University,Food Science,0%,33.3%,0%,33.3%,50%
20037891,Agricultural Sciences,Forestry and Forest Sciences,Auburn University,Forestry,0%,13%,8.3%,62.5%,25%
20016867,Agricultural Sciences,Forestry and Forest Sciences,Clemson University,Forest Resources,4.8%,9.5%,33.3%,16.7%,16.7%
20056364,Agricultural Sciences,Forestry and Forest Sciences,Colorado State University,"Forest, Rangeland, and Watershed Stewardship",0%,14.3%,13%,45.2%,39.1%
20016469,Agricultural Sciences,Forestry and Forest Sciences,Iowa State University,Forestry,0%,30.8%,0%,22.2%,44.4%
20058100,Agricultural Sciences,Forestry and Forest Sciences,Louisiana State University And Agricultural And Mechanical College,Forestry,0%,0%,0%,40%,86.7%
20046950,Agricultural Sciences,Forestry and Forest Sciences,Michigan State University,Forestry,9.5%,14.3%,0%,22.7%,54.5%
20022343,Agricultural Sciences,Forestry and Forest Sciences,Michigan Technological University,Forest Science,0%,27.8%,5.6%,56%,20%
20022356,Agricultural Sciences,Forestry and Forest Sciences,Michigan Technological University,Forest Molecular Genetics and Biotechnology,0%,20%,8.9%,33.3%,91.7%
20024477,Agricultural Sciences,Forestry and Forest Sciences,Mississippi State University,Forest Products (degree: PhD in Forest Resources),5.9%,11.8%,16.7%,33.3%,33.3%
20024480,Agricultural Sciences,Forestry and Forest Sciences,Mississippi State University,Forestry (degree: PhD in Forest Resources),0%,11.1%,0%,25%,8.3%
20041447,Agricultural Sciences,Forestry and Forest Sciences,North Carolina State University,Forestry,1.7%,14.8%,0%,35.7%,42.9%
20041683,Agricultural Sciences,Forestry and Forest Sciences,North Carolina State University,Wood and Paper Science,0%,9.5%,0%,6.3%,87.5%
20018603,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Engineering,0%,0%,0%,17.6%,23.5%
20018616,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Science,0%,21.7%,7.7%,39.3%,7.1%
20018629,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Resources,9.5%,13.6%,0%,29.4%,29.4%
20018742,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Wood Science,0%,7.7%,0%,16.7%,58.3%
20031415,Agricultural Sciences,Forestry and Forest Sciences,Penn State University,Forest Resources,0%,4.2%,0%,22.2%,33.3%
20031800,Agricultural Sciences,Forestry and Forest Sciences,Penn State University,Wildlife and Fisheries Science,8.3%,16.7%,16.7%,16.7%,0%
20055886,Agricultural Sciences,Forestry and Forest Sciences,Purdue University Main Campus,Forestry & Natural Resources,10%,15%,30%,35.5%,64.5%
20021742,Agricultural Sciences,Forestry and Forest Sciences,Texas A & M University,Forestry,11.1%,26.7%,100%,33.3%,66.7%
20021784,Agricultural Sciences,Forestry and Forest Sciences,Texas A & M University,Rangeland Ecology and Management,0%,3.1%,10%,50%,37.5%
20013145,Agricultural Sciences,Forestry and Forest Sciences,University of Florida,Forest Resources and Conservation,5.9%,16.7%,14.3%,47.7%,50%
20019738,Agricultural Sciences,Forestry and Forest Sciences,University of Georgia,Forest Resources,0%,7.9%,8.1%,33.3%,28.1%
20047959,Agricultural Sciences,Forestry and Forest Sciences,University of Massachusetts Amherst,Forest Resources,0%,21.4%,0%,12.5%,25%
20040121,Agricultural Sciences,Forestry and Forest Sciences,University of Minnesota-Twin Cities,Natural Resource Science and Management,6.3%,21.6%,4.9%,36%,18%
20071420,Agricultural Sciences,Forestry and Forest Sciences,University of Idaho,Forest Resources,0%,44.4%,0%,42.9%,28.6%
20025382,Agricultural Sciences,Forestry and Forest Sciences,University of Missouri - Columbia,Forestry,0%,8.3%,0%,37.5%,43.8%
20063124,Agricultural Sciences,Forestry and Forest Sciences,University of Montana - Missoula,Forestry,0%,25.7%,N/D,49.3%,N/D
20045922,Agricultural Sciences,Forestry and Forest Sciences,University of Tennessee,Natural Resources,0%,12.5%,0%,40%,16%
20059659,Agricultural Sciences,Forestry and Forest Sciences,University of Washington,Forest Resources,2.9%,19.2%,8.8%,38.9%,31.5%
20030610,Agricultural Sciences,Forestry and Forest Sciences,University of Wisconsin-Madison,Forestry,0%,5.9%,0%,46.2%,32%
20044567,Agricultural Sciences,Forestry and Forest Sciences,Virginia Polytechnic Institute And State University,Forest Products,0%,11.1%,0%,0%,80%
20044570,Agricultural Sciences,Forestry and Forest Sciences,Virginia Polytechnic Institute And State University,Forestry,4%,11.5%,0%,19%,38.1%
20063496,Agricultural Sciences,Forestry and Forest Sciences,Yale University,Forestry & Environmental Studies,4%,20%,7.5%,54.4%,29.4%
20037998,Agricultural Sciences,Nutrition,Auburn University,Nutrition & Food Science,10%,50%,33.3%,66.7%,50%
20019246,Agricultural Sciences,Nutrition,Case Western Reserve University,Nutrition,0%,44.4%,0%,60%,73.3%
20057790,Agricultural Sciences,Nutrition,Columbia University In The City of New York,Nutrition,2.9%,34.3%,25%,78.6%,35.7%
20015994,Agricultural Sciences,Nutrition,Cornell University,Nutrition,0%,41.5%,22.9%,72.6%,38.7%
20062099,Agricultural Sciences,Nutrition,Emory University,Nutrition and Health Sciences (NHS),9.5%,33.3%,4.8%,90.9%,33.3%
20034603,Agricultural Sciences,Nutrition,Florida International University,Dietetics and Nutrition,37.5%,100%,36.4%,75%,31.3%
20016634,Agricultural Sciences,Nutrition,Iowa State University,Nutrition,6.7%,73.3%,0%,71.4%,35.7%
20056775,Agricultural Sciences,Nutrition,Johns Hopkins University,Human Nutrition,10%,40%,15.4%,95%,35%
20028677,Agricultural Sciences,Nutrition,Kansas State University,Nutrition,16.7%,46.2%,0%,78.6%,50%
20026051,Agricultural Sciences,Nutrition,Howard University,Nutritional Science,50%,50%,90%,81.8%,20%
20047027,Agricultural Sciences,Nutrition,Michigan State University,Human Nutrition,12.5%,50%,0%,83.3%,25%
20024558,Agricultural Sciences,Nutrition,Mississippi State University,Nutrition (degree: PhD in Food Science and Nutrition),14.3%,57.1%,0%,50%,0%
20041560,Agricultural Sciences,Nutrition,North Carolina State University,Nutrition,6.7%,22.6%,0%,63.6%,27.3%
20029236,Agricultural Sciences,Nutrition,Ohio State University Main Campus,"Nutrition Program, The Ohio State University",3.1%,18.8%,7.7%,70%,56.7%
20018674,Agricultural Sciences,Nutrition,Oregon State University,Nutrition and Food Management,0%,80%,0%,100%,25%
20031622,Agricultural Sciences,Nutrition,Penn State University,Nutritional Sciences,0%,64%,4.8%,71.4%,40%
20012670,Agricultural Sciences,Nutrition,Rutgers The State University of New Jersey New Brunswick Campus,Nutritional Sciences,0%,54.5%,16.7%,88.2%,23.5%
20021687,Agricultural Sciences,Nutrition,Texas A & M University,Nutrition,0%,31.6%,14.3%,46.7%,53.3%
20055860,Agricultural Sciences,Nutrition,Purdue University Main Campus,Foods and Nutrition,0%,45%,6.7%,79.5%,56.4%
20029744,Agricultural Sciences,Nutrition,Tufts University,Nutrition,1.9%,49.1%,9.1%,79.1%,36%
20048644,Agricultural Sciences,Nutrition,University of Alabama At Birmingham,Nutrition Sciences,7.4%,32.1%,18.2%,81.8%,27.3%
20034182,Agricultural Sciences,Nutrition,University of Arizona,Nutritional Science,0%,58.3%,16.7%,81.8%,13.6%
20061090,Agricultural Sciences,Nutrition,University of California-Berkeley,Molecular and Biochemical Nutrition,8.3%,25%,7.7%,73.1%,42.3%
20067337,Agricultural Sciences,Nutrition,University of California-Davis,Nutritional Biology (Nutrition),5.8%,45.1%,14.7%,81%,21%
20024192,Agricultural Sciences,Nutrition,University of Connecticut,Nutritional Science PhD,13.3%,53.3%,11.8%,71.4%,35.7%
20013132,Agricultural Sciences,Nutrition,University of Florida,Food Science and Human Nutrition: Nutritional Sciences,0%,60%,0%,80%,60%
20019725,Agricultural Sciences,Nutrition,University of Georgia,Foods & Nutrition,14.3%,62.5%,80%,80%,50%
20042909,Agricultural Sciences,Nutrition,University of Illinois At Chicago,Human Nutrition,0%,50%,25%,100%,42.9%
20039226,Agricultural Sciences,Nutrition,University of Illinois At Urbana-Champaign,Nutritional Science,4.1%,24%,18.8%,71.4%,40.7%
20028318,Agricultural Sciences,Nutrition,University of Kentucky,Nutritional Sciences,4.5%,38.1%,0%,61.9%,57.1%
20050438,Agricultural Sciences,Nutrition,University of Maryland College Park,Nutrition,16.7%,38.5%,33.3%,86.7%,53.3%
20040150,Agricultural Sciences,Nutrition,University of Minnesota-Twin Cities,Nutrition,0%,64%,5.9%,100%,22.7%
20017112,Agricultural Sciences,Nutrition,University of Nebraska - Lincoln,Nutrition,4.3%,45.8%,0%,80%,46.7%
20045456,Agricultural Sciences,Nutrition,University of North Carolina At Chapel Hill,Nutrition,14.3%,71.4%,12.2%,76.9%,19.2%
20070722,Agricultural Sciences,Nutrition,University of North Carolina At Greensboro,Nutrition,10%,60%,25%,72.7%,27.3%
20065083,Agricultural Sciences,Nutrition,University of Rhode Island,Nutrition & Food Sciences,0%,50%,0%,83.3%,0%
20032838,Agricultural Sciences,Nutrition,University of Southern Mississippi,Nutrition & Food Systems,0%,100%,50%,87.5%,0%
20045951,Agricultural Sciences,Nutrition,University of Tennessee,Nutrition,7.1%,50%,0%,80%,60%
20061744,Agricultural Sciences,Nutrition,University of Texas At Austin,Nutritional Sciences,7.7%,38.5%,0%,83.3%,44.4%
20030940,Agricultural Sciences,Nutrition,University of Wisconsin-Madison,Nutritional Sciences,6.3%,28.1%,0%,75.8%,33.3%
20059866,Agricultural Sciences,Nutrition,University of Washington,Nutritional Sciences,0%,61.5%,14.3%,75%,41.7%
20062727,Agricultural Sciences,Nutrition,Utah State University,Nutrition and Food Sciences (AG),6.3%,31.3%,25%,50%,50%
20044622,Agricultural Sciences,Nutrition,Virginia Polytechnic Institute And State University,"Human Nutrition, Foods and Exercise",5.6%,47.4%,0%,43.8%,37.5%
20058472,Agricultural Sciences,Nutrition,Washington State University,Graduate Program in Nutrition,0%,80%,0%,100%,50%
20021399,Agricultural Sciences,Nutrition,Wayne State University,Nutrition and Food Science,0%,57.1%,40%,84.6%,61.5%
20037752,Agricultural Sciences,Plant Sciences,Auburn University,Agronomy and Soils,3.8%,11.1%,25%,30%,60%
20037914,Agricultural Sciences,Plant Sciences,Auburn University,Horticulture,9.1%,25%,0%,42.9%,71.4%
20038023,Agricultural Sciences,Plant Sciences,Auburn University,Plant Pathology,7.7%,27.3%,0%,20%,60%
20017963,Agricultural Sciences,Plant Sciences,Claremont Graduate University,Botany,0%,60%,0%,54.5%,18.2%
20016870,Agricultural Sciences,Plant Sciences,Clemson University,Plant and Environmental Sciences,0%,16.7%,6.7%,37.5%,33.3%
20056377,Agricultural Sciences,Plant Sciences,Colorado State University,Horticulture,8.3%,8.3%,0%,50%,50%
20015855,Agricultural Sciences,Plant Sciences,Cornell University,Horticulture,0%,25%,6.7%,40.5%,48.6%
20016058,Agricultural Sciences,Plant Sciences,Cornell University,Plant Biology,2.9%,20.9%,7.1%,55.1%,33.3%
20016061,Agricultural Sciences,Plant Sciences,Cornell University,Plant Breeding,0%,43.8%,14.3%,38.5%,42.3%
20016074,Agricultural Sciences,Plant Sciences,Cornell University,Plant Pathology,3.8%,24.1%,0%,65%,35%
20016155,Agricultural Sciences,Plant Sciences,Cornell University,Soil and Crop Sciences,4.5%,29.2%,7.7%,41.2%,55.9%
20016388,Agricultural Sciences,Plant Sciences,Iowa State University,Crop Production & Physiology,21.4%,14.3%,11.1%,38.5%,30.8%
20046581,Agricultural Sciences,Plant Sciences,Indiana University At Bloomington,Plant Sciences,,21.4%,0%,42.9%,0%
20016508,Agricultural Sciences,Plant Sciences,Iowa State University,Horticulture,0%,20%,16.7%,30%,30%
20016663,Agricultural Sciences,Plant Sciences,Iowa State University,Plant Breeding,9.1%,15.4%,0%,42.9%,61.9%
20016676,Agricultural Sciences,Plant Sciences,Iowa State University,Plant Pathology,0%,17.6%,0%,30%,60%
20016689,Agricultural Sciences,Plant Sciences,Iowa State University,Plant Physiology,3.8%,19.2%,20%,43.5%,73.9%
20028486,Agricultural Sciences,Plant Sciences,Kansas State University,Agronomy and Crop Sciences,3.6%,7.1%,0%,34.8%,26.1%
20028635,Agricultural Sciences,Plant Sciences,Kansas State University,Horticultural Science,0%,23.1%,0%,61.5%,69.2%
20028703,Agricultural Sciences,Plant Sciences,Kansas State University,Plant Pathology,0%,31.3%,0%,42.1%,73.7%
20058155,Agricultural Sciences,Plant Sciences,Louisiana State University And Agricultural And Mechanical College,Horticulture,0%,0%,0%,50%,50%
20057952,Agricultural Sciences,Plant Sciences,Louisiana State University And Agricultural And Mechanical College,Agronomy,4.2%,4.2%,11.1%,14.3%,47.6%
20058236,Agricultural Sciences,Plant Sciences,Louisiana State University And Agricultural And Mechanical College,Plant Health,7.7%,0%,0%,33.3%,66.7%
20046866,Agricultural Sciences,Plant Sciences,Michigan State University,Crop and Soil Sciences,3.2%,18.8%,0%,19%,47.6%
20047014,Agricultural Sciences,Plant Sciences,Michigan State University,Horticulture,0%,20%,33.3%,50%,62.5%
20047179,Agricultural Sciences,Plant Sciences,Michigan State University,Plant Biology,3%,30.3%,3.8%,48.4%,12.9%
20047182,Agricultural Sciences,Plant Sciences,Michigan State University,Plant Breeding & Genetics,0%,21.1%,0%,69.2%,53.8%
