Program ID,Broad Field,Field,Institution Name,Program Name,Average Number of  PhDs Graduated (2002-2006),Percent of Interdisciplinary Faculty (2006),Average GRE Scores (2004-2006),"Percent of
First Year Students with External Fellowships (2005)",Is Student Work Space Provided?,Is Health Insurance Provided?,Number of Student Activities (Max=18)
20038036,Agricultural Sciences,Animal Sciences,Auburn University,Poultry Science,2.8,0%,665,0%,Yes,No,8
20016838,Agricultural Sciences,Animal Sciences,Clemson University,Wildlife and Fisheries Biology,2,63%,512,0%,Yes,Yes,14
20056238,Agricultural Sciences,Animal Sciences,Colorado State University,Animal Science,2.8,0%,639,0%,Yes,No,12
20015486,Agricultural Sciences,Animal Sciences,Cornell University,Animal Science,6.6,7.7%,715,0%,Yes,Yes,16
20016265,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Breeding and Genetics,3,12.5%,713,0%,Yes,Yes,16
20016278,Agricultural Sciences,Animal Sciences,Iowa State University,Animal Nutrition,1.4,26.3%,718,0%,Yes,Yes,17
20016579,Agricultural Sciences,Animal Sciences,Iowa State University,Meat Science,2.2,23.1%,575,0%,Yes,Yes,16
20028509,Agricultural Sciences,Animal Sciences,Kansas State University,Animal Science,6.8,18.2%,639,0%,Yes,Yes,16
20057965,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Animal and Dairy Sciences,5.2,47.2%,610,0%,Yes,Yes,15
20058294,Agricultural Sciences,Animal Sciences,Louisiana State University And Agricultural And Mechanical College,Wildlife and Fisheries Science,2.2,47.8%,594,0%,Yes,Yes,16
20021195,Agricultural Sciences,Animal Sciences,Miami University,Zoology,4.6,0%,657,0%,Yes,Yes,16
20046730,Agricultural Sciences,Animal Sciences,Michigan State University,Animal Science,5.2,53.6%,669,0%,Yes,Yes,18
20047043,Agricultural Sciences,Animal Sciences,Michigan State University,Large Animal Clinical Sciences,2.6,51.3%,639,0%,Yes,Yes,18
20062170,Agricultural Sciences,Animal Sciences,New Mexico State University Main Campus,Animal Sciences,1.6,25%,639,5.9%,Yes,Yes,17
20041269,Agricultural Sciences,Animal Sciences,North Carolina State University,Animal Science and Poultry Science,2,19%,597,0%,Yes,Yes,18
20041696,Agricultural Sciences,Animal Sciences,North Carolina State University,Zoology,4.8,36.2%,696,0%,Yes,Yes,18
20026815,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Animal and Range Sciences,3,10.5%,639,0%,No,No,14
20028761,Agricultural Sciences,Animal Sciences,Ohio State University Main Campus,Animal Sciences,5.2,39.2%,621,0%,Yes,Yes,18
20041861,Agricultural Sciences,Animal Sciences,Oklahoma State University Main Campus,Animal Nutrition,4.8,35.7%,703,46.7%,Yes,No,17
20026954,Agricultural Sciences,Animal Sciences,North Dakota State University Main Campus,Zoology,1,14.3%,600,0%,Yes,No,13
20018522,Agricultural Sciences,Animal Sciences,Oregon State University,Animal Science,2.4,39.1%,630,5.9%,Yes,Yes,12
20031169,Agricultural Sciences,Animal Sciences,Penn State University,Animal Science,2.4,48.6%,593,0%,Yes,Yes,18
20055637,Agricultural Sciences,Animal Sciences,Purdue University Main Campus,Animal Sciences,3.8,52.6%,664,0%,Yes,Yes,18
20012353,Agricultural Sciences,Animal Sciences,Rutgers The State University of New Jersey New Brunswick Campus,Animal Sciences,2,0%,645,0%,Yes,Yes,16
20040613,Agricultural Sciences,Animal Sciences,Southern Illinois University Carbondale,Zoology,3.8,7.1%,607,0%,Yes,No,15
20021700,Agricultural Sciences,Animal Sciences,Texas A & M University,Animal Science,3.8,0%,615,0%,Yes,Yes,18
20021807,Agricultural Sciences,Animal Sciences,Texas A & M University,Wildlife & Fisheries Sciences,9.8,17.5%,645,14.3%,No,Yes,15
20022929,Agricultural Sciences,Animal Sciences,Texas Tech University,Zoology,1,12.8%,573,5.9%,Yes,Yes,17
20065151,Agricultural Sciences,Animal Sciences,Texas A & M University,Reproductive Physiology,2.6,31.3%,664,0%,Yes,Yes,17
20027995,Agricultural Sciences,Animal Sciences,University of Alaska Fairbanks,Fisheries,2.4,45.5%,576,0%,No,No,18
20033785,Agricultural Sciences,Animal Sciences,University of Arizona,Animal Sciences,1.4,37.5%,639,0%,Yes,Yes,18
20013530,Agricultural Sciences,Animal Sciences,University of Arkansas Main Campus,Animal Sciences,2.6,35%,639,0%,Yes,Yes,14
20013750,Agricultural Sciences,Animal Sciences,University of Arkansas Main Campus,Poultry Science,4.2,43.3%,649,0%,Yes,Yes,13
20023805,Agricultural Sciences,Animal Sciences,University of Connecticut,Animal Science PhD,2.8,59.5%,670,0%,Yes,Yes,16
20024215,Agricultural Sciences,Animal Sciences,University of Connecticut,Pathobiology PhD,2.2,37.5%,650,0%,Yes,Yes,14
20012081,Agricultural Sciences,Animal Sciences,University of Delaware,Animal Science,1,0%,600,0%,Yes,Yes,15
20012926,Agricultural Sciences,Animal Sciences,University of Florida,Animal Sciences,5.2,14.6%,636,0%,Yes,Yes,15
20013080,Agricultural Sciences,Animal Sciences,University of Florida,Fisheries and Aquatic Sciences,1.8,36%,642,0%,Yes,Yes,17
20013501,Agricultural Sciences,Animal Sciences,University of Florida,Veterinary Medical Sciences,7.4,17.6%,629,14.3%,Yes,Yes,16
20019563,Agricultural Sciences,Animal Sciences,University of Georgia,Animal and Dairy Science,2.8,5%,644,0%,Yes,Yes,18
20019945,Agricultural Sciences,Animal Sciences,University of Georgia,Poultry Science,2.2,15.4%,633,5.9%,Yes,Yes,18
20014966,Agricultural Sciences,Animal Sciences,University of Hawaii At Manoa,Zoology,7.2,9.4%,706,9.5%,Yes,Yes,16
20067557,Agricultural Sciences,Animal Sciences,University of Idaho,Animal Physiology,1.2,5.9%,639,0%,Yes,Yes,14
20038777,Agricultural Sciences,Animal Sciences,University of Illinois At Urbana-Champaign,Animal Sciences,12,37.5%,605,20%,No,Yes,14
20028059,Agricultural Sciences,Animal Sciences,University of Kentucky,Animal Sciences,5.2,48.1%,619,0%,Yes,Yes,18
20049986,Agricultural Sciences,Animal Sciences,University of Maryland College Park,Animal Sciences,4,35.7%,689,25%,Yes,Yes,16
20050548,Agricultural Sciences,Animal Sciences,University of Maryland College Park,Veterinary Medical Sciences,1,27.3%,685,66.7%,Yes,Yes,16
20039598,Agricultural Sciences,Animal Sciences,University of Minnesota-Twin Cities,Animal Sciences,3.8,3.3%,691,0%,Yes,Yes,18
20040299,Agricultural Sciences,Animal Sciences,University of Minnesota-Twin Cities,Veterinary Medicine,6.4,8.7%,639,0%,Yes,Yes,16
20025188,Agricultural Sciences,Animal Sciences,University of Missouri - Columbia,Animal Sciences,7.2,6.1%,632,0%,Yes,Yes,17
20017086,Agricultural Sciences,Animal Sciences,University of Nebraska - Lincoln,Animal Science,9.4,37.3%,639,0%,Yes,Yes,18
20045647,Agricultural Sciences,Animal Sciences,University of Tennessee,Animal Science,2.4,51.4%,490,0%,Yes,Yes,12
20059439,Agricultural Sciences,Animal Sciences,University of Washington,Aquatic and Fishery Sciences,9.2,51.4%,708,0%,Yes,Yes,18
20030306,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Animal Sciences,2.4,53.7%,679,0%,Yes,Yes,16
20030526,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Dairy Science,4.2,22.2%,639,33.3%,No,Yes,16
20031127,Agricultural Sciences,Animal Sciences,University of Wisconsin-Madison,Zoology,6.8,9.1%,722,100%,Yes,Yes,16
20024752,Agricultural Sciences,Animal Sciences,University of Wyoming,Reproductive Biology,1,0%,N/D,N/D,No,Yes,0
20044363,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,"Animal Sciences, Dairy",1,50%,625,0%,Yes,Yes,17
20044376,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,Animal and Poultry Sciences,3.2,50%,714,0%,Yes,Yes,18
20044541,Agricultural Sciences,Animal Sciences,Virginia Polytechnic Institute And State University,Fisheries and Wildlife,3.8,51.1%,624,0%,Yes,Yes,17
20058304,Agricultural Sciences,Animal Sciences,Washington State University,Animal Sciences,2.2,46.9%,494,0%,Yes,Yes,18
20037862,Agricultural Sciences,Entomology,Auburn University,Entomology,1,0%,643,0%,Yes,No,13
20016841,Agricultural Sciences,Entomology,Clemson University,Entomology,2.8,53.8%,486,0%,Yes,Yes,16
20015761,Agricultural Sciences,Entomology,Cornell University,Entomology,4.8,5.9%,680,25%,Yes,Yes,18
20016430,Agricultural Sciences,Entomology,Iowa State University,Entomology,3.2,17.6%,670,15.2%,Yes,Yes,14
20028596,Agricultural Sciences,Entomology,Kansas State University,Entomology,5,38.5%,643,66.7%,Yes,Yes,16
20058087,Agricultural Sciences,Entomology,Louisiana State University And Agricultural And Mechanical College,Entomology,3.6,48.7%,640,0%,Yes,Yes,18
20046918,Agricultural Sciences,Entomology,Michigan State University,Entomology,2.2,52.9%,556,0%,Yes,Yes,17
20024451,Agricultural Sciences,Entomology,Mississippi State University,Entomology and Plant Pathology (degree: PhD in Life Sciences),1.4,44.8%,620,40%,No,No,15
20041418,Agricultural Sciences,Entomology,North Carolina State University,Entomology,4,9.7%,653,0%,Yes,Yes,18
20028965,Agricultural Sciences,Entomology,Ohio State University Main Campus,Entomology,4.4,5%,588,25%,Yes,Yes,18
20041971,Agricultural Sciences,Entomology,Oklahoma State University Main Campus,Entomology,2.2,0%,643,0%,Yes,No,18
20018564,Agricultural Sciences,Entomology,Oregon State University,Entomology,2.2,29.4%,643,0%,Yes,Yes,11
20031392,Agricultural Sciences,Entomology,Penn State University,Entomology,3.6,36.8%,659,16.7%,Yes,Yes,18
20055844,Agricultural Sciences,Entomology,Purdue University Main Campus,Entomology,2.6,47.5%,675,0%,Yes,Yes,18
20012531,Agricultural Sciences,Entomology,Rutgers The State University of New Jersey New Brunswick Campus,Entomology,1.2,0%,660,100%,Yes,Yes,15
20013624,Agricultural Sciences,Entomology,University of Arkansas Main Campus,Entomology,2.2,50%,605,0%,Yes,Yes,18
20067159,Agricultural Sciences,Entomology,University of California-Davis,Entomology,3,37.5%,715,0%,Yes,Yes,18
20048819,Agricultural Sciences,Entomology,University of California-Riverside,Entomology,4.2,12.1%,683,10%,Yes,Yes,17
20013064,Agricultural Sciences,Entomology,University of Florida,Entomology and Nematology,7,25.7%,643,10%,Yes,Yes,16
20019699,Agricultural Sciences,Entomology,University of Georgia,Entomology,5.8,25.6%,633,2.9%,Yes,Yes,18
20038984,Agricultural Sciences,Entomology,University of Illinois At Urbana-Champaign,Entomology,4.6,52.2%,650,0%,Yes,Yes,17
20028198,Agricultural Sciences,Entomology,University of Kentucky,Entomology,2.6,48.4%,647,0%,Yes,Yes,17
20050195,Agricultural Sciences,Entomology,University of Maryland College Park,Entomology,2.4,34.4%,671,15.2%,Yes,Yes,16
20039857,Agricultural Sciences,Entomology,University of Minnesota-Twin Cities,Entomology,4.4,21.7%,683,0%,Yes,Yes,17
20017099,Agricultural Sciences,Entomology,University of Nebraska - Lincoln,Entomology,3.6,45.5%,643,0%,Yes,Yes,16
20030584,Agricultural Sciences,Entomology,University of Wisconsin-Madison,Entomology,3,0%,673,33.3%,Yes,Yes,17
20044525,Agricultural Sciences,Entomology,Virginia Polytechnic Institute And State University,Entomology,3.6,51.1%,660,0%,Yes,Yes,18
20058427,Agricultural Sciences,Entomology,Washington State University,Entomology,1.2,33.3%,643,66.7%,Yes,Yes,18
20016854,Agricultural Sciences,Food Science,Clemson University,Food Technology,2.4,59.1%,615,0%,Yes,Yes,15
20056351,Agricultural Sciences,Food Science,Colorado State University,Food Science & Human Nutrition,2.6,0%,561,33.3%,Yes,No,16
20015787,Agricultural Sciences,Food Science,Cornell University,Food Science and Technology,11.2,0%,731,0%,Yes,Yes,16
20016456,Agricultural Sciences,Food Science,Iowa State University,Food Science & Technology,3.8,8.3%,661,11.7%,Yes,Yes,16
20028606,Agricultural Sciences,Food Science,Kansas State University,Food Science,5.4,53.8%,640,5.3%,Yes,Yes,17
20058090,Agricultural Sciences,Food Science,Louisiana State University And Agricultural And Mechanical College,Food Science,3,65.4%,677,66.7%,Yes,Yes,15
20046947,Agricultural Sciences,Food Science,Michigan State University,Food Science,2.8,42.9%,674,11.7%,Yes,Yes,17
20024464,Agricultural Sciences,Food Science,Mississippi State University,Food Science (degree: PhD in Food Science and Nutrition),4.2,6.3%,713,100%,Yes,No,18
20041434,Agricultural Sciences,Food Science,North Carolina State University,Food Science,5.2,23.8%,618,0%,Yes,Yes,18
20028994,Agricultural Sciences,Food Science,Ohio State University Main Campus,Food Science and Nutrition,6.4,15%,756,0%,Yes,Yes,18
20041997,Agricultural Sciences,Food Science,Oklahoma State University Main Campus,Food Science,1.6,30%,567,9.1%,Yes,No,7
20018593,Agricultural Sciences,Food Science,Oregon State University,Food Science and Technology,4.6,24%,720,0%,Yes,Yes,15
20031402,Agricultural Sciences,Food Science,Penn State University,Food Science,3.2,58.8%,694,0%,Yes,Yes,18
20055857,Agricultural Sciences,Food Science,Purdue University Main Campus,Food Science,6.4,53.5%,685,0%,Yes,Yes,18
20012557,Agricultural Sciences,Food Science,Rutgers The State University of New Jersey New Brunswick Campus,Food Science,10.6,0%,730,0%,Yes,Yes,16
20021632,Agricultural Sciences,Food Science,Texas A & M University,Food Science & Technology,5,52.4%,609,28.6%,Yes,Yes,10
20013640,Agricultural Sciences,Food Science,University of Arkansas Main Campus,Food Science,4,66.7%,708,0%,Yes,Yes,18
20067175,Agricultural Sciences,Food Science,University of California-Davis,Food Science,5.4,20%,709,0%,Yes,Yes,18
20013103,Agricultural Sciences,Food Science,University of Florida,Food Science and Human Nutrition: Food Science,4.6,5.9%,678,0%,No,Yes,17
20019712,Agricultural Sciences,Food Science,University of Georgia,Food Science,9.2,70.7%,641,0%,Yes,Yes,18
20039006,Agricultural Sciences,Food Science,University of Illinois At Urbana-Champaign,Food Science and Human Nutrition,5.6,38%,735,0%,Yes,Yes,14
20050218,Agricultural Sciences,Food Science,University of Maryland College Park,Food Science,1.8,26.7%,763,0%,Yes,Yes,16
20047946,Agricultural Sciences,Food Science,University of Massachusetts Amherst,Food Science,4.6,50%,672,0%,Yes,Yes,14
20039909,Agricultural Sciences,Food Science,University of Minnesota-Twin Cities,Food Science,4.2,10.5%,738,0%,Yes,Yes,16
20025379,Agricultural Sciences,Food Science,University of Missouri - Columbia,Food Science,2.25,9.1%,705,11.7%,Yes,Yes,16
20017109,Agricultural Sciences,Food Science,University of Nebraska - Lincoln,Food Science & Technology,4.2,65.1%,660,0%,Yes,Yes,18
20045812,Agricultural Sciences,Food Science,University of Tennessee,Food Science and Technology,1.4,61.9%,620,11.7%,Yes,Yes,14
20027474,Agricultural Sciences,Food Science,University of Vermont,"Animal, Nutrition, and Food Sciences",1.8,25%,668,11.7%,Yes,Yes,17
20030607,Agricultural Sciences,Food Science,University of Wisconsin-Madison,Food Science,5,27.8%,775,0%,Yes,Yes,18
20044554,Agricultural Sciences,Food Science,Virginia Polytechnic Institute And State University,Food Science and Technology,2.4,47.8%,695,11.7%,Yes,Yes,18
20058443,Agricultural Sciences,Food Science,Washington State University,Food Science,3.4,67.9%,603,50%,Yes,Yes,18
20037891,Agricultural Sciences,Forestry and Forest Sciences,Auburn University,Forestry,2.2,4.2%,713,0%,Yes,No,15
20016867,Agricultural Sciences,Forestry and Forest Sciences,Clemson University,Forest Resources,3.6,34.4%,638,0%,Yes,Yes,15
20056364,Agricultural Sciences,Forestry and Forest Sciences,Colorado State University,"Forest, Rangeland, and Watershed Stewardship",3.2,24.3%,622,0%,No,No,11
20016469,Agricultural Sciences,Forestry and Forest Sciences,Iowa State University,Forestry,1.2,35%,554,10.2%,Yes,Yes,16
20058100,Agricultural Sciences,Forestry and Forest Sciences,Louisiana State University And Agricultural And Mechanical College,Forestry,3,59.5%,737,0%,Yes,Yes,16
20046950,Agricultural Sciences,Forestry and Forest Sciences,Michigan State University,Forestry,3,58.8%,692,0%,Yes,Yes,17
20022343,Agricultural Sciences,Forestry and Forest Sciences,Michigan Technological University,Forest Science,1.4,62.5%,658,0%,Yes,Yes,12
20022356,Agricultural Sciences,Forestry and Forest Sciences,Michigan Technological University,Forest Molecular Genetics and Biotechnology,1.4,68.8%,713,0%,Yes,Yes,11
20024477,Agricultural Sciences,Forestry and Forest Sciences,Mississippi State University,Forest Products (degree: PhD in Forest Resources),1.6,43.3%,664,0%,Yes,No,18
20024480,Agricultural Sciences,Forestry and Forest Sciences,Mississippi State University,Forestry (degree: PhD in Forest Resources),1.6,25%,664,0%,Yes,No,13
20041447,Agricultural Sciences,Forestry and Forest Sciences,North Carolina State University,Forestry,7.4,31.5%,659,8.3%,No,Yes,17
20041683,Agricultural Sciences,Forestry and Forest Sciences,North Carolina State University,Wood and Paper Science,2.6,4.5%,747,66.7%,Yes,Yes,18
20018603,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Engineering,2,70.4%,684,0%,Yes,Yes,14
20018616,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Science,7,54%,637,0%,Yes,Yes,14
20018629,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Forest Resources,2.6,38.9%,676,0%,Yes,Yes,16
20018742,Agricultural Sciences,Forestry and Forest Sciences,Oregon State University,Wood Science,3,23.5%,690,0%,Yes,Yes,13
20031415,Agricultural Sciences,Forestry and Forest Sciences,Penn State University,Forest Resources,3.6,45.5%,639,0%,No,Yes,18
20031800,Agricultural Sciences,Forestry and Forest Sciences,Penn State University,Wildlife and Fisheries Science,1,36.8%,645,0%,No,Yes,18
20055886,Agricultural Sciences,Forestry and Forest Sciences,Purdue University Main Campus,Forestry & Natural Resources,4,67.2%,710,0%,Yes,Yes,18
20021742,Agricultural Sciences,Forestry and Forest Sciences,Texas A & M University,Forestry,2.2,0%,637,0%,Yes,Yes,15
20021784,Agricultural Sciences,Forestry and Forest Sciences,Texas A & M University,Rangeland Ecology and Management,3.6,0%,624,20%,Yes,Yes,16
20013145,Agricultural Sciences,Forestry and Forest Sciences,University of Florida,Forest Resources and Conservation,3.8,0%,671,0%,Yes,Yes,15
20019738,Agricultural Sciences,Forestry and Forest Sciences,University of Georgia,Forest Resources,6.8,58.2%,650,0%,Yes,Yes,18
20071420,Agricultural Sciences,Forestry and Forest Sciences,University of Idaho,Forest Resources,1.4,47.1%,664,0%,Yes,Yes,14
20047959,Agricultural Sciences,Forestry and Forest Sciences,University of Massachusetts Amherst,Forest Resources,1.2,26.3%,664,100%,Yes,Yes,15
20025382,Agricultural Sciences,Forestry and Forest Sciences,University of Missouri - Columbia,Forestry,1,0%,600,50%,Yes,Yes,16
20040121,Agricultural Sciences,Forestry and Forest Sciences,University of Minnesota-Twin Cities,Natural Resource Science and Management,6.6,42.2%,717,0%,Yes,Yes,18
20063124,Agricultural Sciences,Forestry and Forest Sciences,University of Montana - Missoula,Forestry,7.8,12.5%,681,N/D,Yes,No,14
20045922,Agricultural Sciences,Forestry and Forest Sciences,University of Tennessee,Natural Resources,2,27.3%,634,66.7%,Yes,Yes,17
20059659,Agricultural Sciences,Forestry and Forest Sciences,University of Washington,Forest Resources,10.8,38.1%,728,0%,Yes,Yes,18
20030610,Agricultural Sciences,Forestry and Forest Sciences,University of Wisconsin-Madison,Forestry,4.4,54.1%,635,0%,Yes,Yes,17
20044567,Agricultural Sciences,Forestry and Forest Sciences,Virginia Polytechnic Institute And State University,Forest Products,2.2,56.1%,540,0%,Yes,Yes,18
20044570,Agricultural Sciences,Forestry and Forest Sciences,Virginia Polytechnic Institute And State University,Forestry,3.8,53.6%,672,0%,Yes,Yes,18
20063496,Agricultural Sciences,Forestry and Forest Sciences,Yale University,Forestry & Environmental Studies,9.8,32.4%,731,15.4%,No,Yes,18
20037998,Agricultural Sciences,Nutrition,Auburn University,Nutrition & Food Science,1.2,20%,620,33.3%,Yes,No,16
20019246,Agricultural Sciences,Nutrition,Case Western Reserve University,Nutrition,1.8,58.3%,742,0%,Yes,No,18
20057790,Agricultural Sciences,Nutrition,Columbia University In The City of New York,Nutrition,4,22.2%,710,40%,Yes,Yes,16
20015994,Agricultural Sciences,Nutrition,Cornell University,Nutrition,7.8,4.7%,713,0%,Yes,Yes,15
20062099,Agricultural Sciences,Nutrition,Emory University,Nutrition and Health Sciences (NHS),3.2,18.8%,703,33.3%,No,Yes,16
20034603,Agricultural Sciences,Nutrition,Florida International University,Dietetics and Nutrition,2,33.3%,625,0%,No,Yes,16
20026051,Agricultural Sciences,Nutrition,Howard University,Nutritional Science,2.4,83.3%,652,100%,Yes,No,15
20056775,Agricultural Sciences,Nutrition,Johns Hopkins University,Human Nutrition,2.8,28.6%,712,0%,Yes,Yes,16
20016634,Agricultural Sciences,Nutrition,Iowa State University,Nutrition,1.4,0%,662,0%,Yes,Yes,16
20028677,Agricultural Sciences,Nutrition,Kansas State University,Nutrition,1.8,23.5%,638,0%,Yes,Yes,17
20047027,Agricultural Sciences,Nutrition,Michigan State University,Human Nutrition,2.4,48.5%,690,0%,Yes,Yes,17
20024558,Agricultural Sciences,Nutrition,Mississippi State University,Nutrition (degree: PhD in Food Science and Nutrition),1,0%,550,0%,Yes,No,18
20041560,Agricultural Sciences,Nutrition,North Carolina State University,Nutrition,3.8,0%,530,0%,Yes,Yes,18
20029236,Agricultural Sciences,Nutrition,Ohio State University Main Campus,"Nutrition Program, The Ohio State University",3.6,8.6%,720,0%,Yes,Yes,18
20018674,Agricultural Sciences,Nutrition,Oregon State University,Nutrition and Food Management,1.6,33.3%,737,33.3%,Yes,Yes,16
20031622,Agricultural Sciences,Nutrition,Penn State University,Nutritional Sciences,5.2,44.4%,713,0%,Yes,Yes,18
20055860,Agricultural Sciences,Nutrition,Purdue University Main Campus,Foods and Nutrition,4.4,64.8%,707,0%,Yes,Yes,18
20012670,Agricultural Sciences,Nutrition,Rutgers The State University of New Jersey New Brunswick Campus,Nutritional Sciences,1.6,0%,656,0%,Yes,Yes,15
20021687,Agricultural Sciences,Nutrition,Texas A & M University,Nutrition,3.6,17.4%,670,0%,Yes,Yes,15
20029744,Agricultural Sciences,Nutrition,Tufts University,Nutrition,9.4,7.8%,678,7.1%,Yes,Yes,18
20048644,Agricultural Sciences,Nutrition,University of Alabama At Birmingham,Nutrition Sciences,1.4,0%,633,72.7%,Yes,Yes,15
20034182,Agricultural Sciences,Nutrition,University of Arizona,Nutritional Science,4.6,71.4%,505,0%,Yes,Yes,17
20061090,Agricultural Sciences,Nutrition,University of California-Berkeley,Molecular and Biochemical Nutrition,4.2,7.7%,749,16.7%,Yes,Yes,18
20067337,Agricultural Sciences,Nutrition,University of California-Davis,Nutritional Biology (Nutrition),12,1.4%,663,12.5%,No,Yes,18
20024192,Agricultural Sciences,Nutrition,University of Connecticut,Nutritional Science PhD,4.2,51.6%,617,0%,Yes,Yes,15
20013132,Agricultural Sciences,Nutrition,University of Florida,Food Science and Human Nutrition: Nutritional Sciences,1.4,0%,692,0%,No,Yes,17
20019725,Agricultural Sciences,Nutrition,University of Georgia,Foods & Nutrition,1.6,51.5%,599,0%,Yes,Yes,18
20042909,Agricultural Sciences,Nutrition,University of Illinois At Chicago,Human Nutrition,1.2,0%,652,0%,Yes,Yes,16
20039226,Agricultural Sciences,Nutrition,University of Illinois At Urbana-Champaign,Nutritional Science,4.6,23.1%,674,0%,Yes,Yes,18
20028318,Agricultural Sciences,Nutrition,University of Kentucky,Nutritional Sciences,3.8,63.8%,715,0%,Yes,Yes,17
20050438,Agricultural Sciences,Nutrition,University of Maryland College Park,Nutrition,1.4,40.9%,702,0%,Yes,Yes,18
20040150,Agricultural Sciences,Nutrition,University of Minnesota-Twin Cities,Nutrition,3.6,16.7%,686,0%,Yes,Yes,17
20017112,Agricultural Sciences,Nutrition,University of Nebraska - Lincoln,Nutrition,2.4,25%,574,0%,Yes,Yes,15
20045456,Agricultural Sciences,Nutrition,University of North Carolina At Chapel Hill,Nutrition,6.8,65%,711,0%,Yes,Yes,18
20070722,Agricultural Sciences,Nutrition,University of North Carolina At Greensboro,Nutrition,2.4,28.6%,514,0%,No,Yes,17
20065083,Agricultural Sciences,Nutrition,University of Rhode Island,Nutrition & Food Sciences,1.2,14.3%,500,100%,No,Yes,14
20032838,Agricultural Sciences,Nutrition,University of Southern Mississippi,Nutrition & Food Systems,1.8,0%,492,0%,No,No,16
20045951,Agricultural Sciences,Nutrition,University of Tennessee,Nutrition,2.6,39.1%,753,0%,Yes,Yes,16
20061744,Agricultural Sciences,Nutrition,University of Texas At Austin,Nutritional Sciences,4.6,38.1%,672,0%,Yes,Yes,17
20059866,Agricultural Sciences,Nutrition,University of Washington,Nutritional Sciences,2.2,63.9%,685,0%,No,Yes,17
20030940,Agricultural Sciences,Nutrition,University of Wisconsin-Madison,Nutritional Sciences,4,34.7%,691,0%,Yes,Yes,18
20062727,Agricultural Sciences,Nutrition,Utah State University,Nutrition and Food Sciences (AG),4.4,50%,N/D,N/D,No,No,
20044622,Agricultural Sciences,Nutrition,Virginia Polytechnic Institute And State University,"Human Nutrition, Foods and Exercise",2.4,55.8%,620,0%,Yes,Yes,16
20058472,Agricultural Sciences,Nutrition,Washington State University,Graduate Program in Nutrition,1.2,41.2%,590,10.4%,Yes,Yes,18
20021399,Agricultural Sciences,Nutrition,Wayne State University,Nutrition and Food Science,2.6,0%,592,0%,Yes,Yes,17
20037752,Agricultural Sciences,Plant Sciences,Auburn University,Agronomy and Soils,3.4,0%,700,0%,Yes,No,11
20037914,Agricultural Sciences,Plant Sciences,Auburn University,Horticulture,1.4,0%,638,0%,Yes,No,2
20038023,Agricultural Sciences,Plant Sciences,Auburn University,Plant Pathology,1.8,0%,646,0%,Yes,No,13
20017963,Agricultural Sciences,Plant Sciences,Claremont Graduate University,Botany,1.2,16.7%,692,62.5%,Yes,No,14
20016870,Agricultural Sciences,Plant Sciences,Clemson University,Plant and Environmental Sciences,3.8,14.3%,607,0%,Yes,Yes,15
20056377,Agricultural Sciences,Plant Sciences,Colorado State University,Horticulture,1.6,0%,618,13.3%,No,No,12
20015855,Agricultural Sciences,Plant Sciences,Cornell University,Horticulture,6.8,9.7%,652,0%,Yes,Yes,17
20016058,Agricultural Sciences,Plant Sciences,Cornell University,Plant Biology,6.8,2.3%,711,0%,Yes,Yes,17
20016061,Agricultural Sciences,Plant Sciences,Cornell University,Plant Breeding,5.6,27.3%,697,25%,Yes,Yes,17
20016074,Agricultural Sciences,Plant Sciences,Cornell University,Plant Pathology,7.8,25.6%,748,0%,Yes,Yes,6
20016155,Agricultural Sciences,Plant Sciences,Cornell University,Soil and Crop Sciences,5.4,20%,695,33.3%,Yes,Yes,18
20046581,Agricultural Sciences,Plant Sciences,Indiana University At Bloomington,Plant Sciences,2,22.2%,N/D,N/D,Yes,Yes,18
20016508,Agricultural Sciences,Plant Sciences,Iowa State University,Horticulture,1.4,0%,710,0%,Yes,Yes,15
20016388,Agricultural Sciences,Plant Sciences,Iowa State University,Crop Production & Physiology,2.8,30%,661,0%,Yes,Yes,15
20016676,Agricultural Sciences,Plant Sciences,Iowa State University,Plant Pathology,1.8,0%,595,0%,Yes,Yes,16
20016663,Agricultural Sciences,Plant Sciences,Iowa State University,Plant Breeding,5,33.3%,551,0%,Yes,Yes,15
20016689,Agricultural Sciences,Plant Sciences,Iowa State University,Plant Physiology,3,18.8%,726,10.8%,Yes,Yes,15
20028486,Agricultural Sciences,Plant Sciences,Kansas State University,Agronomy and Crop Sciences,4.4,18.9%,661,16.7%,Yes,Yes,18
20028635,Agricultural Sciences,Plant Sciences,Kansas State University,Horticultural Science,1.8,0%,550,0%,Yes,Yes,18
20028703,Agricultural Sciences,Plant Sciences,Kansas State University,Plant Pathology,3.8,11.1%,661,0%,Yes,Yes,17
